,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,374,526,576,474,509,505,591,539,554,553,673,598,613
Expenses +,354,480,569,435,456,454,539,497,500,497,600,539,536
Operating Profit,20,46,7,39,53,50,52,43,53,56,73,59,77
OPM %,5%,9%,1%,8%,10%,10%,9%,8%,10%,10%,11%,10%,13%
Other Income +,2,1,-15,-10,-5,2,2,3,-13,2,6,4,6
Interest,4,6,6,5,4,3,3,2,2,2,2,1,1
Depreciation,9,14,16,14,13,13,13,13,14,14,14,15,15
Profit before tax,9,27,-30,10,31,36,38,31,24,43,64,47,66
Tax %,48%,27%,-30%,32%,33%,29%,32%,25%,13%,26%,25%,26%,26%
Net Profit +,5,20,-21,7,21,25,26,23,21,32,48,35,49
EPS in Rs,0.24,1.03,-1.07,0.36,1.06,1.32,1.34,1.19,1.11,1.66,2.47,1.81,2.56
Raw PDF,,,,,,,,,,,,,
