,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,255,464,692,869,"1,180","1,577","2,036"
Interest,114,201,313,348,472,680,854
Expenses +,83,190,280,359,442,578,873
Financing Profit,58,74,99,162,266,320,309
Financing Margin %,23%,16%,14%,19%,23%,20%,15%
Other Income +,0,2,6,14,19,46,44
Depreciation,8,19,27,37,42,37,49
Profit before tax,51,56,77,139,243,328,304
Tax %,29%,30%,20%,26%,26%,25%,26%
Net Profit +,36,39,62,103,180,245,225
EPS in Rs,1.57,1.43,2.13,3.22,5.60,6.62,6.04
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
