,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"2,742","2,373","1,708","3,083","3,209","4,813","5,024"
Expenses +,"2,720","2,326","1,608","2,959","3,052","4,677","4,929"
Operating Profit,23,47,99,124,158,137,94
OPM %,1%,2%,6%,4%,5%,3%,2%
Other Income +,42,44,13,56,47,49,56
Interest,6,19,6,10,13,17,18
Depreciation,10,10,8,11,18,35,32
Profit before tax,49,62,98,159,174,133,101
Tax %,36%,26%,26%,27%,29%,24%,
Net Profit +,31,46,72,116,123,101,77
EPS in Rs,8.36,12.31,19.36,2.42,2.53,2.01,1.50
Dividend Payout %,0%,0%,0%,0%,0%,15%,
