,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,55,82,32,26,38,108,46,36,32,49,32,42,29
Expenses +,71,130,56,51,55,137,68,57,55,95,53,65,46
Operating Profit,-16,-48,-24,-25,-17,-29,-22,-20,-23,-46,-21,-23,-17
OPM %,-29%,-58%,-73%,-94%,-44%,-27%,-47%,-56%,-71%,-94%,-67%,-55%,-57%
Other Income +,14,694,9,9,16,23,11,10,10,"2,704",14,12,-15
Interest,22,8,17,19,17,16,17,17,17,18,20,14,17
Depreciation,3,2,2,2,2,4,2,2,2,2,2,2,2
Profit before tax,-27,636,-33,-36,-20,-26,-30,-29,-32,"2,638",-29,-27,-51
Tax %,0%,0%,0%,0%,0%,31%,0%,0%,0%,-0%,0%,0%,0%
Net Profit +,-27,636,-33,-36,-20,-34,-30,-29,-32,"2,641",-29,-27,-51
EPS in Rs,-0.76,17.86,-0.93,-1.03,-0.56,-0.94,-0.84,-0.81,-0.89,74.27,-0.81,-0.76,-1.44
Raw PDF,,,,,,,,,,,,,
