,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,197,168,176,182,188,169,165,183,188,162,172,197,201
Expenses +,184,198,207,196,198,180,191,198,209,180,186,196,202
Operating Profit,13,-30,-32,-15,-10,-12,-26,-15,-21,-18,-14,2,-1
OPM %,7%,-18%,-18%,-8%,-5%,-7%,-16%,-8%,-11%,-11%,-8%,1%,-1%
Other Income +,5,2,21,26,29,31,22,24,29,27,36,24,53
Interest,3,3,5,6,2,3,4,3,4,2,2,2,1
Depreciation,7,7,8,9,7,7,7,7,7,6,5,4,5
Profit before tax,8,-38,-23,-4,10,10,-15,-2,-2,1,15,20,46
Tax %,70%,-45%,32%,-84%,-26%,38%,-53%,-55%,-645%,4%,6%,9%,0%
Net Profit +,2,-21,-28,-1,12,6,-6,-1,11,1,14,18,45
EPS in Rs,0.28,-2.87,-3.84,-0.09,1.64,0.86,-0.86,-0.11,1.46,0.07,1.88,2.44,6.16
Raw PDF,,,,,,,,,,,,,
