,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,245,222,273,254,319,304,305,276,329,304,318,322,385
Expenses +,206,182,229,208,254,214,233,211,254,225,235,243,279
Operating Profit,39,40,44,46,65,90,71,66,75,78,83,79,106
OPM %,16%,18%,16%,18%,21%,30%,23%,24%,23%,26%,26%,25%,28%
Other Income +,3,4,4,7,5,4,6,6,4,11,5,6,4
Interest,0,1,1,1,1,0,0,1,0,1,0,0,0
Depreciation,4,4,4,4,4,4,4,5,5,4,5,4,4
Profit before tax,39,39,43,48,65,90,72,67,74,84,83,81,106
Tax %,26%,25%,26%,26%,26%,26%,26%,26%,26%,24%,26%,25%,27%
Net Profit +,29,29,32,35,48,67,54,50,55,64,62,60,78
EPS in Rs,9.06,9.26,10.17,11.23,15.19,21.26,17.02,15.75,17.45,20.23,19.60,19.12,24.60
Raw PDF,,,,,,,,,,,,,
