,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,165,98,170,278,170,210,129,210,155,162,146,123,149
Expenses +,121,62,134,152,129,149,81,134,108,109,104,87,107
Operating Profit,44,36,36,126,41,61,48,76,47,53,42,36,41
OPM %,27%,37%,21%,45%,24%,29%,37%,36%,30%,33%,29%,30%,28%
Other Income +,10,10,12,12,9,10,10,10,11,11,20,26,39
Interest,26,30,31,34,27,25,23,29,14,19,13,9,18
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,27,15,16,103,22,45,35,57,44,44,49,53,62
Tax %,28%,29%,28%,27%,30%,25%,22%,27%,28%,26%,19%,21%,22%
Net Profit +,23,12,16,80,16,43,34,51,40,38,49,49,54
EPS in Rs,5.07,2.46,3.17,17.00,3.50,9.11,7.29,9.80,7.78,7.22,9.46,9.35,10.41
Raw PDF,,,,,,,,,,,,,
