,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,463,509,389,326,393,397,351,341,356,372,363,318,340
Expenses +,351,406,327,288,343,341,306,292,312,331,325,294,305
Operating Profit,111,103,62,38,50,56,45,49,45,41,38,24,34
OPM %,24%,20%,16%,12%,13%,14%,13%,14%,13%,11%,10%,8%,10%
Other Income +,1,0,1,2,3,5,5,6,25,9,8,9,6
Interest,0,0,0,0,0,0,0,0,0,0,1,0,0
Depreciation,16,14,14,14,14,13,13,13,13,13,13,14,13
Profit before tax,96,90,49,25,39,47,37,41,56,37,32,19,26
Tax %,28%,26%,26%,26%,26%,27%,26%,26%,25%,26%,-30%,32%,20%
Net Profit +,69,66,36,19,28,34,27,30,42,27,42,13,21
EPS in Rs,4.14,3.99,2.14,1.12,1.70,2.06,1.63,1.80,2.49,1.62,2.52,0.77,1.24
Raw PDF,,,,,,,,,,,,,
