,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,254.54,236.11,257.52,251.09,312.44,272.02,278.99,258.41,284.61,289.29,301.51,278.52,329.29
Expenses +,212.52,193.18,227.07,216.63,248.11,226.64,233.48,222.68,237.39,246.96,249.68,233.70,269.03
Operating Profit,42.02,42.93,30.45,34.46,64.33,45.38,45.51,35.73,47.22,42.33,51.83,44.82,60.26
OPM %,16.51%,18.18%,11.82%,13.72%,20.59%,16.68%,16.31%,13.83%,16.59%,14.63%,17.19%,16.09%,18.30%
Other Income +,-3.49,3.42,3.48,14.18,-5.19,-0.76,5.08,191.57,11.73,5.07,10.38,1.99,-44.69
Interest,4.27,3.35,3.79,5.16,7.34,6.42,6.24,5.68,3.93,3.14,3.01,2.51,2.42
Depreciation,9.40,9.55,10.22,10.57,10.46,10.54,10.72,11.02,11.04,11.17,11.57,12.42,12.42
Profit before tax,24.86,33.45,19.92,32.91,41.34,27.66,33.63,210.60,43.98,33.09,47.63,31.88,0.73
Tax %,29.77%,26.88%,33.38%,28.75%,15.41%,31.34%,26.76%,21.12%,27.76%,22.57%,24.54%,30.68%,283.56%
Net Profit +,17.46,24.46,13.27,23.45,34.97,18.99,24.63,166.12,31.77,25.62,35.94,22.10,-1.34
EPS in Rs,1.75,2.47,1.30,2.36,3.57,1.91,2.48,17.09,3.22,2.57,3.64,2.20,-0.21
Raw PDF,,,,,,,,,,,,,
