,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,125,120,119,112,134,112,124,128,129,129,159,140,162
Expenses +,97,95,95,90,102,87,93,96,98,95,109,106,129
Operating Profit,28,25,24,22,33,25,31,32,31,34,50,34,33
OPM %,22%,21%,20%,20%,24%,23%,25%,25%,24%,26%,32%,24%,20%
Other Income +,3,6,6,1,0,3,4,5,7,10,11,5,4
Interest,2,2,2,2,2,1,1,1,1,1,1,1,1
Depreciation,5,6,6,6,6,6,6,6,6,6,6,6,5
Profit before tax,23,24,22,15,25,22,28,30,31,36,54,31,31
Tax %,34%,25%,26%,24%,25%,26%,26%,28%,21%,24%,25%,29%,26%
Net Profit +,15,18,16,12,19,16,21,22,24,27,41,22,23
EPS in Rs,11.35,12.98,11.90,8.68,14.02,11.62,15.19,16.17,17.93,20.15,29.75,16.33,16.62
Raw PDF,,,,,,,,,,,,,
