,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,301,374,437,325,397,457,363,445,579,509,524
Expenses +,284,356,414,313,381,433,344,422,550,484,496
Operating Profit,18,18,23,13,16,25,18,23,29,25,28
OPM %,6%,5%,5%,4%,4%,5%,5%,5%,5%,5%,5%
Other Income +,1,0,30,1,1,-1,2,1,1,1,-0
Interest,1,1,3,4,5,6,3,2,4,4,2
Depreciation,2,3,4,3,3,4,3,4,4,4,5
Profit before tax,16,15,46,6,9,15,14,18,21,18,21
Tax %,24%,27%,11%,34%,35%,31%,16%,27%,28%,27%,20%
Net Profit +,12,11,41,4,6,10,12,13,15,13,17
EPS in Rs,5.07,4.67,17.62,1.77,2.45,4.37,4.74,5.14,5.85,4.71,5.91
Raw PDF,,,,,,,,,,,
