,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,598,696,770,904,666,616,"1,017","1,179","1,222","1,187"
Expenses +,489,543,609,703,544,507,788,918,960,927
Operating Profit,109,153,161,201,121,109,229,261,262,260
OPM %,18%,22%,21%,22%,18%,18%,23%,22%,21%,22%
Other Income +,2,9,7,7,9,3,11,19,-17,-28
Interest,58,55,50,42,32,12,20,10,3,2
Depreciation,22,23,23,25,27,25,26,27,33,41
Profit before tax,32,84,95,141,72,75,194,243,210,190
Tax %,22%,9%,22%,58%,27%,-16%,32%,19%,26%,
Net Profit +,25,77,74,59,53,87,132,198,156,143
EPS in Rs,10.26,31.90,30.69,24.62,22.08,36.26,48.43,72.74,57.30,52.50
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
