,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,618,628,698,686,688,654,763,689,703,685,711,690,750
Expenses +,556,567,622,622,607,586,663,595,604,590,606,595,649
Operating Profit,62,61,76,64,81,68,99,94,99,96,105,95,101
OPM %,10%,10%,11%,9%,12%,10%,13%,14%,14%,14%,15%,14%,13%
Other Income +,8,9,9,12,15,19,20,23,31,20,15,22,29
Interest,0,0,1,1,0,1,1,1,0,0,0,1,2
Depreciation,11,9,11,13,14,12,13,14,14,13,14,15,17
Profit before tax,58,60,73,62,82,74,106,102,117,102,106,101,111
Tax %,25%,25%,26%,26%,24%,25%,24%,26%,24%,25%,26%,25%,24%
Net Profit +,44,45,55,46,62,55,80,76,88,77,79,75,84
EPS in Rs,14.79,15.21,18.39,15.60,20.88,18.57,26.94,25.55,29.70,25.84,26.47,25.37,28.23
Raw PDF,,,,,,,,,,,,,
