,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"1,635","1,622","1,740","1,898","1,973","2,025","2,129","2,184","2,275","2,314","2,355","2,371","2,373"
Interest,"1,038","1,018","1,014","1,073","1,116","1,217","1,298","1,365","1,400","1,449","1,472","1,501","1,505"
Expenses +,591,672,735,629,680,877,777,836,828,893,891,815,981
Financing Profit,6,-69,-8,197,178,-69,54,-17,47,-27,-9,54,-113
Financing Margin %,0%,-4%,-0%,10%,9%,-3%,3%,-1%,2%,-1%,-0%,2%,-5%
Other Income +,204,246,255,-34,345,361,355,452,346,422,449,409,572
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,210,178,247,162,522,292,409,435,393,394,440,463,459
Tax %,-29%,35%,10%,36%,36%,31%,33%,30%,27%,26%,26%,26%,25%
Net Profit +,272,115,223,103,334,203,275,305,287,294,325,342,342
EPS in Rs,1.04,0.44,0.85,0.39,1.28,0.77,1.05,1.17,1.10,1.12,1.24,1.31,1.31
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
