,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,707,665,986,"1,121",753,652,724,903,542,674,839,988,642
Expenses +,581,556,798,843,633,571,644,716,476,534,678,743,536
Operating Profit,127,109,188,278,120,81,81,188,66,140,161,245,106
OPM %,18%,16%,19%,25%,16%,12%,11%,21%,12%,21%,19%,25%,17%
Other Income +,6,7,5,11,13,16,18,25,27,27,26,31,31
Interest,2,1,1,1,1,1,1,1,1,1,1,1,2
Depreciation,11,11,11,15,11,14,14,16,16,17,15,16,19
Profit before tax,120,104,180,272,121,82,83,196,75,149,171,260,117
Tax %,26%,28%,23%,26%,25%,12%,26%,27%,27%,26%,26%,26%,25%
Net Profit +,89,75,138,201,90,72,62,143,55,110,127,193,87
EPS in Rs,1.78,1.50,2.77,4.04,1.81,1.45,1.24,2.87,1.10,2.20,2.54,3.85,1.74
Raw PDF,,,,,,,,,,,,,
