,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"3,773","3,851","4,185","4,627","4,987","5,224","5,219","5,552","5,860","6,024","6,078","6,220","6,745"
Interest,"2,120","2,202","2,415","2,675","3,015","3,215","3,302","3,564","3,672","3,770","3,778","3,842","4,046"
Expenses +,"1,757","1,402","1,766","1,754","2,025","2,295","1,924","2,072","2,507","2,227","2,355","2,567","3,055"
Financing Profit,-105,248,4,198,-53,-286,-7,-84,-319,27,-54,-190,-356
Financing Margin %,-3%,6%,0%,4%,-1%,-5%,-0%,-2%,-5%,0%,-1%,-3%,-5%
Other Income +,589,-54,780,823,960,633,647,861,"1,125",835,993,"1,186","1,392"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,484,193,784,"1,021",907,347,640,777,806,862,939,996,"1,036"
Tax %,36%,36%,36%,36%,36%,36%,37%,35%,35%,36%,36%,36%,37%
Net Profit +,315,117,497,654,557,225,404,505,538,555,607,640,666
EPS in Rs,0.26,0.10,0.42,0.55,0.47,0.19,0.34,0.42,0.45,0.46,0.51,0.54,0.53
Gross NPA %,7.89%,7.42%,6.58%,5.63%,4.78%,4.48%,4.14%,3.85%,3.46%,3.32%,3.18%,2.91%,2.69%
Net NPA %,2.70%,2.49%,1.99%,1.66%,1.29%,1.18%,1.11%,0.98%,0.89%,0.78%,0.73%,0.63%,0.50%
Raw PDF,,,,,,,,,,,,,
