,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,459,588,506,777,594,679,549,889,669,786,661,"1,027",780
Expenses +,408,499,453,673,571,626,549,769,628,687,622,855,712
Operating Profit,50,89,54,104,23,52,1,120,40,99,39,171,68
OPM %,11%,15%,11%,13%,4%,8%,0%,13%,6%,13%,6%,17%,9%
Other Income +,3,4,3,1,8,2,2,13,4,5,2,3,27
Interest,24,25,28,31,34,33,36,38,36,37,39,42,17
Depreciation,38,40,44,47,48,50,53,58,61,57,59,63,54
Profit before tax,-8,28,-16,26,-52,-29,-86,37,-52,9,-58,70,23
Tax %,-67%,27%,-28%,24%,-28%,-24%,-26%,23%,-25%,-30%,-3%,-3%,19%
Net Profit +,-3,20,-11,20,-37,-22,-64,28,-39,12,-57,72,19
EPS in Rs,-1.32,10.35,-5.72,10.10,-18.69,-11.10,-32.42,14.27,-19.68,6.14,-28.56,36.18,9.35
Raw PDF,,,,,,,,,,,,,
