,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"5,609","4,830","4,482","4,453","4,015","3,937","3,566","2,844","2,708","3,230","2,651","2,798","2,969"
Expenses +,"3,606","3,805","3,772","3,959","4,002","3,935","3,604","2,725","2,771","2,932","2,549","2,707","2,699"
Operating Profit,"2,004","1,026",709,494,13,2,-38,119,-63,298,102,91,270
OPM %,36%,21%,16%,11%,0%,0%,-1%,4%,-2%,9%,4%,3%,9%
Other Income +,187,88,67,66,114,-238,116,133,975,-163,-173,17,57
Interest,215,83,55,129,225,255,265,276,249,299,302,305,279
Depreciation,122,140,145,142,149,150,164,224,246,247,251,223,222
Profit before tax,"1,853",891,575,289,-247,-641,-351,-247,417,-411,-624,-420,-174
Tax %,14%,5%,28%,13%,-9%,4%,-38%,-82%,-65%,-32%,-0%,12%,
Net Profit +,"1,594",843,413,252,-226,-667,-217,-43,688,-279,-621,-472,-189
EPS in Rs,111.87,58.91,28.30,17.45,-13.62,-42.30,-13.52,-4.81,47.64,-16.94,-38.80,-30.18,-12.50
Dividend Payout %,3%,13%,54%,-0%,-56%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
