,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,370","1,477","1,487","1,268","1,195","1,182","1,194","1,138","1,212","1,322","1,393","1,417","1,452"
Expenses +,"1,165","1,244","1,267","1,096","1,046","1,000","1,039",986,"1,065","1,099","1,150","1,193","1,229"
Operating Profit,205,233,220,172,149,182,155,152,148,223,243,224,223
OPM %,15%,16%,15%,14%,12%,15%,13%,13%,12%,17%,17%,16%,15%
Other Income +,24,37,33,23,26,10,24,17,16,16,35,19,50
Interest,3,2,2,2,2,2,2,2,5,5,9,4,5
Depreciation,44,47,49,50,51,52,54,61,76,77,78,81,82
Profit before tax,182,221,202,142,122,138,124,105,83,158,191,158,186
Tax %,25%,26%,27%,28%,24%,26%,26%,32%,29%,29%,27%,26%,30%
Net Profit +,137,163,148,103,92,102,91,72,59,112,140,117,130
EPS in Rs,46.05,55.74,51.13,35.61,31.70,35.02,30.60,24.04,19.84,38.00,46.47,36.93,42.97
Raw PDF,,,,,,,,,,,,,
