,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,46.71,26.99,36.23,38.71,52.53,68.95,54.33,59.33,41.76,51.76,77.42,70.68,49.26
Expenses +,37.67,19.62,26.19,27.50,34.39,54.70,29.38,34.89,23.60,37.60,42.73,38.63,37.65
Operating Profit,9.04,7.37,10.04,11.21,18.14,14.25,24.95,24.44,18.16,14.16,34.69,32.05,11.61
OPM %,19.35%,27.31%,27.71%,28.96%,34.53%,20.67%,45.92%,41.19%,43.49%,27.36%,44.81%,45.35%,23.57%
Other Income +,0.53,0.12,0.06,0.28,0.09,0.21,0.40,0.36,0.46,0.30,0.49,0.51,0.48
Interest,0.44,0.68,1.13,1.55,1.51,1.49,1.51,0.87,0.31,0.64,0.72,1.02,0.66
Depreciation,1.16,1.35,1.36,1.52,1.53,1.57,1.64,1.84,2.45,2.86,2.96,3.05,2.94
Profit before tax,7.97,5.46,7.61,8.42,15.19,11.40,22.20,22.09,15.86,10.96,31.50,28.49,8.49
Tax %,23.71%,19.60%,19.32%,20.55%,36.60%,29.74%,27.61%,26.12%,23.33%,32.66%,27.30%,29.48%,28.39%
Net Profit +,6.08,4.38,6.14,6.69,9.63,8.01,16.07,16.32,12.15,7.38,22.90,20.08,6.08
EPS in Rs,0.23,0.17,0.23,0.25,0.36,0.30,0.61,0.62,0.46,0.28,0.87,0.76,0.23
Raw PDF,,,,,,,,,,,,,
