,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,400,419,577,508,462,482,609,624,614,572,721,715,614
Expenses +,360,388,513,453,400,416,521,549,453,481,614,659,539
Operating Profit,41,31,64,55,62,66,88,75,161,92,107,55,74
OPM %,10%,7%,11%,11%,13%,14%,14%,12%,26%,16%,15%,8%,12%
Other Income +,6,5,6,12,5,6,6,6,12,7,8,8,10
Interest,2,3,3,3,3,2,3,3,3,3,3,4,5
Depreciation,11,11,11,13,12,13,16,16,15,18,19,21,25
Profit before tax,33,22,56,52,51,56,75,62,155,78,93,39,55
Tax %,27%,28%,27%,23%,26%,26%,20%,26%,25%,26%,26%,28%,27%
Net Profit +,24,16,41,40,38,41,60,46,116,58,69,28,40
EPS in Rs,1.00,0.65,1.66,1.63,1.51,1.67,2.45,1.86,4.64,2.34,2.76,1.14,1.78
Raw PDF,,,,,,,,,,,,,
