,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,254","1,258","3,799","5,892","4,941","3,923","4,346"
Expenses +,969,"1,011","3,171","4,695","4,473","3,897","4,127"
Operating Profit,286,247,628,"1,197",468,26,219
OPM %,23%,20%,17%,20%,9%,1%,5%
Other Income +,12,8,484,57,-1,80,47
Interest,48,95,433,322,154,181,236
Depreciation,56,87,131,137,142,151,199
Profit before tax,193,72,547,796,172,-226,-169
Tax %,39%,36%,25%,18%,11%,-30%,-35%
Net Profit +,118,46,410,649,152,-158,-110
EPS in Rs,14.81,6.88,30.59,41.03,9.64,-10.02,-6.98
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
