,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,896,940,"1,002","1,063","1,156","1,254","1,359","1,429","1,445","1,501","1,555","1,612","1,644"
Interest,343,360,393,416,449,511,593,644,659,699,753,794,815
Expenses +,540,587,602,571,685,662,680,715,758,974,"1,021",967,"1,002"
Financing Profit,13,-7,7,77,22,81,86,70,28,-173,-219,-149,-172
Financing Margin %,1%,-1%,1%,7%,2%,6%,6%,5%,2%,-12%,-14%,-9%,-10%
Other Income +,148,133,145,153,239,171,181,205,240,209,239,238,225
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,161,127,152,229,261,252,267,276,268,36,20,90,53
Tax %,26%,23%,24%,26%,27%,24%,26%,27%,23%,28%,36%,26%,21%
Net Profit +,120,97,116,170,190,191,198,202,208,26,13,66,42
EPS in Rs,0.95,0.77,0.93,1.36,1.71,1.72,1.77,1.79,1.83,0.23,0.11,0.58,0.37
Gross NPA %,4.24%,4.10%,3.91%,3.63%,2.76%,2.75%,2.27%,2.53%,2.61%,2.73%,2.95%,2.97%,2.89%
Net NPA %,2.47%,2.15%,1.97%,1.82%,1.21%,1.18%,0.97%,1.13%,1.17%,0.83%,0.97%,0.96%,0.98%
Raw PDF,,,,,,,,,,,,,
