,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,121,136,134,109,138,132,145,138,153,142,146,126,120
Expenses +,100,110,109,81,105,101,107,98,115,107,109,92,99
Operating Profit,22,26,25,29,33,32,38,40,38,35,36,34,21
OPM %,18%,19%,19%,26%,24%,24%,26%,29%,25%,25%,25%,27%,18%
Other Income +,0,1,2,2,2,4,4,5,4,5,7,5,8
Interest,0,0,0,0,0,0,0,0,1,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,2,2,2,3,2
Profit before tax,21,26,26,29,33,34,40,44,40,38,41,36,26
Tax %,18%,22%,21%,23%,22%,22%,22%,24%,24%,22%,21%,24%,24%
Net Profit +,17,20,21,22,26,26,31,33,30,29,32,28,20
EPS in Rs,1.49,1.79,1.86,2.00,2.33,2.32,2.83,2.95,2.72,2.57,2.78,2.41,1.74
Raw PDF,,,,,,,,,,,,,
