,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,368.88,397.68,321.97,300.68,343.69,347.96,339.49,324.45,380.40,343.16,352.58,338.94,372.97
Expenses +,320.70,348.16,274.02,259.66,292.89,306.14,304.25,284.70,325.86,287.99,310.74,296.17,337.81
Operating Profit,48.18,49.52,47.95,41.02,50.80,41.82,35.24,39.75,54.54,55.17,41.84,42.77,35.16
OPM %,13.06%,12.45%,14.89%,13.64%,14.78%,12.02%,10.38%,12.25%,14.34%,16.08%,11.87%,12.62%,9.43%
Other Income +,6.76,6.20,4.27,13.50,5.82,4.00,6.65,11.09,7.75,7.90,12.08,6.72,-16.65
Interest,5.52,5.40,5.58,2.30,2.56,2.62,2.48,2.84,2.83,2.56,2.62,2.13,1.46
Depreciation,8.97,8.81,8.96,9.20,9.15,9.56,9.76,10.02,9.98,10.21,10.39,10.08,9.86
Profit before tax,40.45,41.51,37.68,43.02,44.91,33.64,29.65,37.98,49.48,50.30,40.91,37.28,7.19
Tax %,25.78%,25.68%,25.50%,26.22%,27.37%,26.93%,31.23%,21.85%,25.67%,28.33%,29.21%,28.41%,133.24%
Net Profit +,30.02,30.85,28.07,31.74,32.62,24.58,20.39,29.68,36.78,36.05,28.96,26.69,-2.39
EPS in Rs,3.89,3.99,3.08,3.49,3.58,2.70,2.24,3.26,4.04,3.96,3.18,2.93,-0.26
Raw PDF,,,,,,,,,,,,,
