,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,249,204,215,214,298,197,224,239,307,227,236,231,334
Expenses +,211,176,179,188,254,174,198,215,270,205,202,205,282
Operating Profit,38,28,35,26,44,23,26,25,36,22,34,26,52
OPM %,15%,14%,16%,12%,15%,12%,12%,10%,12%,10%,14%,11%,16%
Other Income +,1,4,3,2,3,1,2,1,2,2,1,2,2
Interest,5,4,5,5,9,5,6,10,10,9,9,9,9
Depreciation,4,6,5,6,6,6,6,7,7,7,7,7,8
Profit before tax,30,22,28,17,33,13,16,8,21,7,20,11,37
Tax %,22%,30%,30%,29%,30%,29%,33%,27%,30%,22%,26%,10%,15%
Net Profit +,23,15,19,12,23,9,11,6,15,5,14,10,32
EPS in Rs,3.41,2.25,2.84,1.80,3.34,1.36,1.47,0.44,1.45,0.50,1.86,1.24,2.98
Raw PDF,,,,,,,,,,,,,
