,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,312,410,382,388,464,496,488,471,554,462,518,534
Expenses +,325,384,370,391,435,456,454,438,508,493,491,507
Operating Profit,-12,26,12,-3,29,40,34,33,46,-31,26,27
OPM %,-4%,6%,3%,-1%,6%,8%,7%,7%,8%,-7%,5%,5%
Other Income +,4,5,7,-148,13,7,11,19,19,20,19,21
Interest,1,2,2,2,1,2,3,3,3,3,3,3
Depreciation,5,6,6,8,6,6,8,10,9,11,13,12
Profit before tax,-14,23,11,-161,34,39,35,39,52,-24,29,32
Tax %,-18%,34%,33%,1%,27%,25%,25%,22%,23%,-24%,12%,22%
Net Profit +,-12,15,7,-162,25,29,26,30,40,-19,26,25
EPS in Rs,-0.68,1.25,0.69,-11.73,1.90,2.16,0.80,0.94,1.24,-0.57,0.80,0.77
Raw PDF,,,,,,,,,,,,
