,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"40,972","47,378","60,308","69,829","69,193"
Expenses +,"36,724","41,887","52,753","60,696","60,239"
Operating Profit,"4,249","5,491","7,554","9,133","8,954"
OPM %,10%,12%,13%,13%,13%
Other Income +,430,582,"1,124","1,473",870
Interest,165,132,142,158,127
Depreciation,"1,973","2,170","2,190","2,208","2,105"
Profit before tax,"2,540","3,772","6,346","8,240","7,591"
Tax %,26%,23%,26%,26%,26%
Net Profit +,"1,881","2,902","4,709","6,060","5,640"
EPS in Rs,,,,,69.41
Dividend Payout %,72%,51%,99%,178%,30%
