,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,376,200,123,368,797,571,198,76,526,341,308,350,719
Expenses +,338,153,129,394,624,481,209,116,548,313,292,324,612
Operating Profit,38,47,-6,-26,173,90,-11,-40,-21,28,16,26,106
OPM %,10%,23%,-5%,-7%,22%,16%,-6%,-53%,-4%,8%,5%,7%,15%
Other Income +,7,4,14,6,7,7,7,8,1,12,14,20,6
Interest,9,8,11,14,6,37,9,31,21,19,11,6,6
Depreciation,3,3,3,3,3,3,3,4,4,4,2,3,4
Profit before tax,34,40,-6,-37,172,58,-17,-67,-45,17,17,36,101
Tax %,20%,34%,11%,-27%,29%,17%,55%,-6%,-41%,62%,40%,27%,35%
Net Profit +,27,26,-7,-27,121,48,-26,-63,-26,6,10,26,66
EPS in Rs,3.53,2.79,-1.16,-3.39,15.45,6.05,-3.33,-8.27,-3.57,0.82,1.28,3.33,8.59
Raw PDF,,,,,,,,,,,,,
