,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,57,65,76,68,72,89,91,92,107,101,104,115,144
Expenses +,32,35,46,40,44,52,51,57,67,59,67,73,88
Operating Profit,25,30,30,28,29,37,40,35,40,42,37,41,55
OPM %,44%,46%,40%,41%,40%,42%,44%,38%,37%,42%,36%,36%,38%
Other Income +,12,6,8,11,10,8,8,12,12,10,10,9,23
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,2,2,2,2,4,3,4,4,4,5,6,5,4
Profit before tax,34,34,36,36,34,42,44,42,47,47,41,44,74
Tax %,33%,28%,29%,17%,18%,24%,25%,26%,19%,24%,25%,27%,33%
Net Profit +,23,24,25,30,28,32,33,31,38,36,30,32,49
EPS in Rs,4.23,4.54,4.74,5.52,5.22,6.00,6.11,5.69,7.02,6.62,5.58,5.96,8.93
Raw PDF,,,,,,,,,,,,,
