,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,812,783,646,549,574,426,379,352,410,414,544,569,553
Expenses +,678,652,567,497,496,448,371,360,408,408,513,528,488
Operating Profit,134,132,78,53,78,-22,8,-8,2,6,31,41,65
OPM %,16%,17%,12%,10%,14%,-5%,2%,-2%,0%,1%,6%,7%,12%
Other Income +,27,38,26,24,27,7,12,10,9,9,12,9,14
Interest,7,9,-3,43,16,4,13,27,2,11,26,13,19
Depreciation,17,18,18,18,23,24,23,23,23,23,25,30,29
Profit before tax,136,142,89,15,67,-43,-16,-48,-14,-19,-9,7,31
Tax %,25%,23%,25%,46%,19%,-20%,-3%,-20%,25%,-13%,1%,159%,35%
Net Profit +,102,109,66,8,54,-34,-15,-38,-18,-17,-9,-4,20
EPS in Rs,4.02,4.29,2.60,0.33,2.13,-1.36,-0.60,-1.50,-0.71,-0.66,-0.36,-0.17,0.78
Raw PDF,,,,,,,,,,,,,
