,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"16,118","17,241","17,615","18,302","20,267","22,517","22,462","23,474","25,644","27,058","28,868","27,812","27,666"
Expenses +,"15,050","15,985","16,538","16,864","18,665","20,481","20,538","21,585","23,273","24,124","26,093","25,364","24,980"
Operating Profit,"1,067","1,256","1,077","1,438","1,602","2,036","1,925","1,889","2,370","2,935","2,775","2,448","2,686"
OPM %,7%,7%,6%,8%,8%,9%,9%,8%,9%,11%,10%,9%,10%
Other Income +,275,37,99,-46,80,35,76,-10,117,161,179,443,214
Interest,129,161,169,184,149,278,253,488,620,450,444,546,466
Depreciation,733,736,732,749,815,840,839,867,"1,016","1,088","1,065","1,103","1,112"
Profit before tax,479,396,274,460,718,953,909,523,851,"1,557","1,445","1,242","1,322"
Tax %,21%,67%,34%,37%,30%,27%,29%,44%,26%,7%,24%,24%,26%
Net Profit +,378,130,182,288,501,699,648,294,633,"1,444","1,097",949,984
EPS in Rs,0.52,0.18,0.21,0.36,0.67,0.97,0.89,0.30,0.80,2.02,1.47,1.25,1.25
Raw PDF,,,,,,,,,,,,,
