,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,114,91,87,90,123,117,89,109,145,119
Expenses +,96,81,74,77,103,99,78,92,122,101
Operating Profit,17,9,13,13,20,18,11,17,23,17
OPM %,15%,10%,14%,15%,16%,15%,12%,16%,16%,15%
Other Income +,0,0,0,-1,0,1,0,0,0,0
Interest,5,4,5,5,5,2,2,2,2,2
Depreciation,0,0,0,0,0,1,0,0,1,0
Profit before tax,12,4,7,7,15,16,8,15,21,15
Tax %,24%,30%,26%,25%,26%,31%,25%,32%,26%,26%
Net Profit +,9,3,5,5,11,11,6,10,15,11
EPS in Rs,0.14,0.05,0.08,0.08,0.11,0.11,0.06,0.11,0.16,0.11
Raw PDF,,,,,,,,,,
