,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,99,91,126,160,196,153,167,118,143,128,190,174,183
Expenses +,71,66,91,115,147,118,131,95,125,112,153,141,149
Operating Profit,28,25,35,45,49,35,36,24,18,17,37,33,34
OPM %,28%,27%,28%,28%,25%,23%,22%,20%,13%,13%,19%,19%,19%
Other Income +,2,4,5,6,5,4,1,0,0,1,1,3,0
Interest,3,2,3,4,6,6,5,6,6,5,5,6,6
Depreciation,4,4,5,5,5,6,6,6,6,6,8,9,10
Profit before tax,24,22,33,42,43,27,26,13,7,6,25,21,19
Tax %,17%,27%,25%,25%,28%,25%,20%,19%,32%,29%,26%,26%,26%
Net Profit +,20,16,25,31,31,20,20,10,5,4,19,16,14
EPS in Rs,6.44,5.27,8.03,10.22,10.10,6.61,6.65,3.40,1.58,1.44,6.10,5.19,4.46
Raw PDF,,,,,,,,,,,,,
