,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,89,146,254,147,149,253,385,248,266,382,513,290,301
Expenses +,84,134,220,129,132,224,336,221,235,340,449,256,265
Operating Profit,6,12,34,17,17,28,49,27,32,42,64,34,36
OPM %,6%,8%,13%,12%,11%,11%,13%,11%,12%,11%,13%,12%,12%
Other Income +,1,0,2,1,3,0,2,0,0,4,1,1,2
Interest,4,4,4,4,3,4,3,3,3,3,3,3,2
Depreciation,4,4,4,4,4,4,4,6,6,6,6,6,7
Profit before tax,-1,4,28,10,12,20,43,19,24,36,56,26,29
Tax %,0%,-73%,9%,20%,10%,22%,21%,23%,24%,45%,28%,28%,26%
Net Profit +,-1,6,26,8,11,16,34,15,18,20,41,19,22
EPS in Rs,-0.06,0.35,1.40,0.45,0.54,0.82,1.74,0.77,0.93,1.03,2.09,0.97,1.10
Raw PDF,,,,,,,,,,,,,
