,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,104,99,109,115,123,121,135,126,154,139,155,158,153
Expenses +,85,81,87,92,97,98,107,102,127,110,121,123,122
Operating Profit,19,18,22,23,27,23,29,23,27,29,34,35,31
OPM %,18%,18%,20%,20%,22%,19%,21%,19%,17%,21%,22%,22%,20%
Other Income +,2,2,3,3,3,4,4,4,10,3,3,4,4
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,3,3,3,3,3,3,3,3,4,3,3,3,4
Profit before tax,19,18,23,23,27,24,30,24,32,29,34,35,31
Tax %,35%,24%,26%,25%,27%,25%,29%,27%,20%,25%,25%,26%,28%
Net Profit +,12,13,17,18,19,18,21,17,26,22,26,26,22
EPS in Rs,1.59,1.75,2.16,2.29,2.54,2.36,2.74,2.27,3.35,2.82,3.34,3.43,2.93
Raw PDF,,,,,,,,,,,,,
