,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"6,902","7,666","8,963","8,475","8,523","9,584","10,607","10,014","10,025","10,476","11,554","11,359","11,800"
Expenses +,"6,002","6,714","7,827","7,439","7,376","8,232","9,124","8,474","8,508","8,984","9,878","9,544","9,908"
Operating Profit,900,953,"1,136","1,036","1,147","1,351","1,483","1,540","1,517","1,492","1,677","1,815","1,893"
OPM %,13%,12%,13%,12%,13%,14%,14%,15%,15%,14%,15%,16%,16%
Other Income +,24,47,37,31,36,1,11,7,19,7,8,22,18
Interest,275,302,350,354,418,477,517,516,532,520,522,551,635
Depreciation,234,222,238,250,275,265,252,244,264,247,261,260,309
Profit before tax,415,475,585,463,490,611,726,787,740,732,901,"1,026",967
Tax %,26%,31%,33%,38%,34%,33%,37%,32%,37%,34%,34%,33%,33%
Net Profit +,308,326,394,289,324,409,457,532,464,481,599,685,644
EPS in Rs,80.94,79.21,105.08,61.30,76.02,97.25,112.83,111.03,114.97,107.37,137.76,191.11,140.09
Raw PDF,,,,,,,,,,,,,
