,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,818,905,993,"1,082","1,185","1,287","1,391","1,471","1,529","1,577","1,613","1,591","1,573"
Interest,274,306,330,385,447,494,568,611,595,636,669,704,709
Expenses +,498,454,415,447,505,538,576,650,730,739,841,923,"1,039"
Financing Profit,46,146,248,250,233,255,248,210,203,203,103,-36,-174
Financing Margin %,6%,16%,25%,23%,20%,20%,18%,14%,13%,13%,6%,-2%,-11%
Other Income +,127,125,147,139,179,177,189,185,236,197,207,172,270
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,173,271,395,389,412,432,436,394,440,400,310,136,95
Tax %,27%,25%,25%,25%,25%,25%,25%,24%,25%,25%,25%,20%,12%
Net Profit +,127,203,294,293,310,324,328,300,330,301,233,109,83
EPS in Rs,0.73,1.17,1.51,1.50,1.58,1.66,1.68,1.53,1.68,1.56,1.20,0.56,0.43
Gross NPA %,7.34%,6.51%,5.06%,3.64%,2.88%,2.62%,2.35%,2.18%,2.23%,2.52%,2.52%,2.68%,2.18%
Net NPA %,0.61%,0.11%,0.04%,0.05%,0.04%,0.06%,0.09%,0.17%,0.28%,0.41%,0.56%,0.56%,0.49%
Raw PDF,,,,,,,,,,,,,
