,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,575,720,809,"1,002","1,222","1,434","1,662","1,075","1,666","2,465","2,786","3,254"
Expenses +,523,657,747,917,"1,090","1,301","1,448",944,"1,462","2,196","2,573","2,877"
Operating Profit,52,64,62,85,133,133,214,131,204,269,213,377
OPM %,9%,9%,8%,8%,11%,9%,13%,12%,12%,11%,8%,12%
Other Income +,1,0,2,4,4,-4,4,21,14,15,21,36
Interest,4,4,3,4,2,2,55,59,77,117,142,136
Depreciation,11,5,19,19,23,28,94,103,131,180,222,233
Profit before tax,38,55,42,67,112,100,70,-10,10,-13,-130,44
Tax %,33%,32%,35%,34%,31%,38%,29%,-36%,-12%,-40%,-26%,-4%
Net Profit +,25,37,28,44,78,62,49,-6,12,-8,-97,46
EPS in Rs,14.01,20.74,15.29,24.30,42.93,33.99,27.18,-3.15,5.89,-3.97,-48.93,23.12
Dividend Payout %,7%,7%,8%,5%,5%,5%,0%,0%,13%,0%,0%,0%
