,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,892,632,750,652,927,553,665,704,934,626,700,811,"1,156"
Expenses +,820,609,697,560,818,497,579,606,819,547,607,713,"1,015"
Operating Profit,72,23,54,92,108,56,86,98,116,79,94,98,141
OPM %,8%,4%,7%,14%,12%,10%,13%,14%,12%,13%,13%,12%,12%
Other Income +,11,35,25,-14,-232,26,16,4,9,11,19,15,13
Interest,24,16,17,16,16,16,17,17,22,18,19,20,22
Depreciation,3,2,2,2,2,2,2,2,2,2,1,1,1
Profit before tax,57,39,60,60,-142,64,83,83,100,70,92,91,131
Tax %,19%,24%,22%,22%,-21%,22%,28%,25%,22%,22%,24%,23%,24%
Net Profit +,46,30,46,47,-112,50,60,63,78,55,70,70,100
EPS in Rs,7.44,4.85,7.50,7.58,-17.86,8.04,9.68,10.11,11.64,8.84,11.35,11.29,16.00
Raw PDF,,,,,,,,,,,,,
