,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,25,39,395,395,395,395,431
Reserves,834,"2,308","2,298","2,752","3,303","4,055","5,941"
Borrowing,"8,195","9,643","10,374","10,675","12,153","13,960","16,322"
Other Liabilities +,426,376,563,554,766,683,529
Total Liabilities,"9,480","12,366","13,630","14,376","16,618","19,093","23,224"
Fixed Assets +,42,44,53,55,63,80,92
CWIP,0,0,0,0,0,0,0
Investments,150,24,497,338,459,462,513
Other Assets +,"9,289","12,298","13,080","13,982","16,095","18,551","22,619"
Total Assets,"9,480","12,366","13,630","14,376","16,618","19,093","23,224"
