,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,33,33,33,33,33,33,33,34,35,35,35,35,35
Reserves,276,317,394,471,804,"1,174","1,358","1,621","1,901","2,145","3,497","3,859","4,087"
Borrowings +,332,241,218,188,286,304,239,253,734,835,"1,924","2,665","4,374"
Other Liabilities +,364,295,291,206,871,703,715,982,371,946,"1,613","1,369","1,404"
Total Liabilities,"1,005",886,937,899,"1,994","2,214","2,345","2,890","3,042","3,961","7,069","7,929","9,900"
Fixed Assets +,295,426,454,472,748,"1,282","1,329","1,699","1,711","2,376","3,661","4,139","4,742"
CWIP,83,35,34,73,313,126,121,220,488,253,412,697,"1,057"
Investments,16,11,21,0,0,0,10,7,0,0,204,194,0
Other Assets +,611,413,428,354,933,806,885,964,844,"1,333","2,792","2,899","4,102"
Total Assets,"1,005",886,937,899,"1,994","2,214","2,345","2,890","3,042","3,961","7,069","7,929","9,900"
