,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,69,69,69,97,97,97,97,97,97,97,117,117
Reserves,"1,051","1,191","1,493","1,804","2,097","2,347","2,563","3,280","3,830","4,397","5,262","6,038"
Borrowings +,624,610,354,406,422,753,767,634,"1,014","1,189",753,670
Other Liabilities +,851,846,960,"1,132","1,326","1,360","1,472","1,907","2,271","2,283","2,236","2,307"
Total Liabilities,"2,595","2,716","2,877","3,440","3,943","4,557","4,900","5,918","7,211","7,966","8,368","9,132"
Fixed Assets +,864,931,963,"1,136","1,267","1,583","1,916","2,044","2,187","3,332","3,500","3,680"
CWIP,133,100,51,62,97,170,178,107,606,111,189,123
Investments,91,134,348,472,333,395,315,356,234,183,255,533
Other Assets +,"1,507","1,550","1,515","1,769","2,245","2,409","2,490","3,411","4,185","4,341","4,424","4,797"
Total Assets,"2,595","2,716","2,877","3,440","3,943","4,557","4,900","5,918","7,211","7,966","8,368","9,132"
