,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,24,24,24,24,24,24,24,24,24,24,24,24
Reserves,774,"1,221","2,068","2,672","3,382","4,229","4,379","3,524","2,534","3,510","3,917","4,332"
Borrowings +,150,145,131,125,201,156,"1,538","2,122","2,481","2,997","2,065","1,247"
Other Liabilities +,"1,159","1,403","1,271","1,288","1,581","1,829","1,889","2,331","2,487","2,819","3,065","3,236"
Total Liabilities,"2,107","2,793","3,494","4,109","5,188","6,238","7,830","8,000","7,527","9,351","9,072","8,839"
Fixed Assets +,848,844,950,"1,160","1,346","1,688","1,878","1,793","1,753","2,655","2,771","2,904"
CWIP,107,48,90,30,203,101,40,117,536,105,188,89
Investments,198,518,788,487,"1,079","1,476","2,893","2,781","1,762","3,324","2,767","2,865"
Other Assets +,954,"1,383","1,665","2,432","2,560","2,972","3,019","3,310","3,475","3,266","3,346","2,980"
Total Assets,"2,107","2,793","3,494","4,109","5,188","6,238","7,830","8,000","7,527","9,351","9,072","8,839"
