,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,19,19,19,19,19,19,19,19,19,19,19,19
Reserves,"1,087","1,070","1,173","1,364","1,545","1,705","1,839","2,113","2,345","2,802","3,107","3,510"
Borrowings +,456,340,320,156,129,97,70,62,240,277,172,216
Other Liabilities +,423,387,348,374,394,401,354,486,692,774,793,898
Total Liabilities,"1,986","1,816","1,860","1,913","2,088","2,222","2,283","2,679","3,296","3,872","4,091","4,643"
Fixed Assets +,897,793,659,705,736,695,748,777,"1,006","1,527","1,555","1,716"
CWIP,40,43,85,73,30,46,39,28,58,87,84,118
Investments,37,41,131,124,180,227,189,127,138,161,172,201
Other Assets +,"1,012",938,985,"1,011","1,141","1,254","1,307","1,747","2,094","2,096","2,280","2,607"
Total Assets,"1,986","1,816","1,860","1,913","2,088","2,222","2,283","2,679","3,296","3,872","4,091","4,643"
