,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,125,125,125,125,125,125,125,268,288,305,305,306
Reserves,"3,519","4,172","4,464","3,977","2,757","2,005","-2,081",-352,715,"1,485","2,712","3,538"
Borrowings +,"2,396","2,092","1,528","1,502","3,041","3,297","2,757","1,484",367,16,17,41
Other Liabilities +,"4,788","5,370","4,831","4,557","4,887","4,883","3,816","2,997","2,852","2,861","2,590","3,532"
Total Liabilities,"10,828","11,760","10,949","10,161","10,811","10,311","4,617","4,397","4,222","4,668","5,625","7,417"
Fixed Assets +,"3,241","4,127","2,588","1,705","2,364","2,050","1,489","1,146","1,081",971,"1,059","1,510"
CWIP,218,104,90,61,85,91,28,20,35,38,94,355
Investments,299,442,231,209,279,130,2,2,41,1,588,438
Other Assets +,"7,070","7,088","8,040","8,186","8,083","8,040","3,098","3,229","3,064","3,658","3,884","5,115"
Total Assets,"10,828","11,760","10,949","10,161","10,811","10,311","4,617","4,397","4,222","4,668","5,625","7,417"
