,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,16,16,16,16,16,16,16,16,32,32,32,32,32
Reserves,418,448,478,530,591,673,755,753,838,"1,001","1,339","1,579","1,691"
Borrowings +,288,337,367,304,251,266,238,448,465,436,577,638,521
Other Liabilities +,332,363,296,256,250,298,366,334,430,491,531,558,537
Total Liabilities,"1,054","1,164","1,156","1,106","1,108","1,253","1,375","1,551","1,765","1,959","2,479","2,807","2,781"
Fixed Assets +,297,391,454,462,441,440,504,600,572,553,587,587,579
CWIP,76,86,10,2,4,2,6,4,4,7,3,10,13
Investments,15,15,15,15,15,15,14,12,24,31,37,41,44
Other Assets +,666,672,677,627,648,795,851,935,"1,165","1,367","1,852","2,170","2,144"
Total Assets,"1,054","1,164","1,156","1,106","1,108","1,253","1,375","1,551","1,765","1,959","2,479","2,807","2,781"
