,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,079","2,114","2,361","2,095","2,234","2,450","2,545","2,561","2,685","2,826","2,913","2,859","2,963"
Expenses +,"1,822","1,874","2,089","1,856","1,949","2,129","2,227","2,262","2,295","2,451","2,531","2,487","2,541"
Operating Profit,257,240,272,240,285,321,318,299,389,374,382,373,422
OPM %,12%,11%,12%,11%,13%,13%,13%,12%,14%,13%,13%,13%,14%
Other Income +,13,-6,8,12,21,17,16,27,27,34,27,22,47
Interest,2,2,6,5,8,9,10,11,13,11,12,11,12
Depreciation,98,99,99,102,122,113,118,114,128,129,131,136,142
Profit before tax,170,133,175,145,177,216,206,201,275,268,266,247,314
Tax %,20%,22%,25%,25%,23%,24%,25%,24%,24%,24%,24%,25%,22%
Net Profit +,136,103,131,108,136,164,155,152,210,204,203,184,245
EPS in Rs,9.68,7.35,9.35,7.69,9.70,11.62,10.99,10.83,14.94,14.49,14.43,13.11,17.43
Raw PDF,,,,,,,,,,,,,
