,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,595","1,190",941,"1,125","1,141","1,179",883,"1,020","1,235","1,140",828,"1,001","1,172"
Expenses +,"1,330","1,065","1,084","1,033",924,"1,027",780,900,"1,026",934,818,918,"1,001"
Operating Profit,265,125,-143,92,217,152,103,120,209,207,11,83,171
OPM %,17%,10%,-15%,8%,19%,13%,12%,12%,17%,18%,1%,8%,15%
Other Income +,403,25,39,41,43,48,70,47,54,472,85,66,85
Interest,8,11,4,5,6,9,12,8,7,7,7,10,6
Depreciation,22,21,22,22,24,34,27,28,27,26,26,27,27
Profit before tax,638,117,-130,105,230,157,133,132,229,646,62,112,223
Tax %,22%,15%,-27%,24%,28%,26%,27%,27%,28%,23%,34%,16%,26%
Net Profit +,495,99,-95,80,166,115,98,95,165,501,41,94,165
EPS in Rs,7.98,1.60,-1.54,1.28,2.68,1.86,1.58,1.54,2.66,8.07,0.66,1.52,2.65
Raw PDF,,,,,,,,,,,,,
