,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,660,666,673,681,687,691,694,696,697,697,697,697
Reserves,"1,432","1,422","1,104","1,347","1,665","2,030","2,072","2,103","2,336","2,670","3,003","3,401"
Borrowings +,"1,189","1,031",891,965,667,557,"1,356","1,194","1,784","1,393","1,533","2,569"
Other Liabilities +,409,306,286,316,352,352,393,789,796,785,702,"1,255"
Total Liabilities,"3,689","3,427","2,954","3,309","3,371","3,630","4,514","4,783","5,613","5,545","5,936","7,922"
Fixed Assets +,"2,730","2,444","2,022","2,068","2,080","2,223","2,871","2,998","3,744","3,716","3,853","4,994"
CWIP,0,8,2,4,2,2,0,0,3,3,17,49
Investments,5,73,85,163,34,134,12,94,130,71,42,73
Other Assets +,953,901,845,"1,074","1,255","1,271","1,630","1,691","1,736","1,754","2,024","2,806"
Total Assets,"3,689","3,427","2,954","3,309","3,371","3,630","4,514","4,783","5,613","5,545","5,936","7,922"
