,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,16,16,16,16,16,16
Reserves,"3,631","5,887","7,141","7,942","8,707","9,134"
Borrowings +,5,5,5,4,372,314
Other Liabilities +,435,588,671,814,"1,515","1,760"
Total Liabilities,"4,086","6,496","7,834","8,778","10,611","11,225"
Fixed Assets +,968,954,"1,502","1,571","3,947","4,147"
CWIP,188,338,191,177,238,151
Investments,0,0,155,0,0,0
Other Assets +,"2,929","5,204","5,986","7,030","6,426","6,927"
Total Assets,"4,086","6,496","7,834","8,778","10,611","11,225"
