,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,845,845,845,845,845
Reserves,"31,468","33,436","12,087","14,350","12,481"
Borrowings +,"7,201","2,844","11,881","8,722","10,967"
Other Liabilities +,"6,213","7,545","10,654","9,978","10,197"
Total Liabilities,"45,727","44,670","35,467","33,895","34,490"
Fixed Assets +,"16,808","17,396","17,622","18,151","18,608"
CWIP,"1,922","2,075","2,237","1,696","2,606"
Investments,"12,957","15,052","10,107","10,452","9,972"
Other Assets +,"14,040","10,147","5,501","3,596","3,304"
Total Assets,"45,727","44,670","35,467","33,895","34,490"
