,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"1,727","1,749","1,739","1,710","1,852","1,843","1,865","2,013","2,065","2,188","2,518","2,760","2,845"
Interest,"1,097","1,117","1,109","1,132","1,150","1,191","1,217","1,313","1,240","1,464","1,662","1,762","1,859"
Expenses +,-399,85,103,245,-155,60,55,12,8,47,-138,73,-28
Financing Profit,"1,029",547,527,333,857,592,593,688,817,678,994,924,"1,014"
Financing Margin %,60%,31%,30%,19%,46%,32%,32%,34%,40%,31%,39%,33%,36%
Other Income +,17,8,8,10,10,9,16,10,129,9,8,10,10
Depreciation,3,3,3,3,3,2,2,2,2,2,3,3,4
Profit before tax,"1,043",553,532,340,864,598,606,696,943,685,"1,000",932,"1,020"
Tax %,28%,26%,26%,25%,26%,25%,26%,25%,26%,19%,31%,21%,29%
Net Profit +,747,412,396,254,639,446,452,519,700,558,689,735,728
EPS in Rs,3.73,2.06,1.98,1.27,3.19,2.23,2.26,2.59,3.50,2.79,3.44,3.67,3.64
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
