,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,55,58,61,64,64,64,64,64,64,64,64,64
Reserves,"3,513","5,332","5,061","5,322","5,432","6,218","6,700","6,919","7,300","7,857","10,029","11,347"
Borrowings +,"5,989","8,102","7,547","6,222","6,311","5,692","5,649","5,335","6,031","4,961","5,761","4,859"
Other Liabilities +,"1,858","2,507","1,676","1,248","1,389","2,807","2,669","3,497","3,048","5,001","4,824","4,395"
Total Liabilities,"11,416","15,999","14,346","12,856","13,197","14,781","15,082","15,815","16,443","17,883","20,679","20,665"
Fixed Assets +,"5,843","8,239","7,977","7,455","7,120","7,163","7,491","7,316","7,357","7,484","8,853","9,341"
CWIP,343,531,254,102,126,260,423,404,293,300,632,641
Investments,75,309,154,119,110,190,129,198,224,175,178,168
Other Assets +,"5,155","6,921","5,961","5,180","5,840","7,169","7,039","7,898","8,570","9,924","11,016","10,516"
Total Assets,"11,416","15,999","14,346","12,856","13,197","14,781","15,082","15,815","16,443","17,883","20,679","20,665"
