,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,65,66,66,66,66,132,132,132,132,132,132,132
Reserves,485,581,696,739,902,"1,128",990,"1,295","1,813","1,906","2,039","1,971"
Borrowings +,0,0,0,0,0,0,"1,670","1,620","2,106","2,554","4,207","4,372"
Other Liabilities +,312,429,460,485,529,596,578,720,731,791,"1,660","2,053"
Total Liabilities,862,"1,075","1,222","1,291","1,497","1,856","3,370","3,767","4,782","5,382","8,038","8,528"
Fixed Assets +,546,737,828,800,789,809,"2,189","2,146","2,737","3,488","6,184","6,511"
CWIP,20,20,26,61,14,16,41,29,47,184,118,179
Investments,94,75,91,94,263,181,51,517,927,822,308,176
Other Assets +,202,243,277,336,430,850,"1,089","1,076","1,072",888,"1,428","1,662"
Total Assets,862,"1,075","1,222","1,291","1,497","1,856","3,370","3,767","4,782","5,382","8,038","8,528"
