,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,70,72,50,74,74,78,80,80,80,80
Reserves,193,255,-209,466,524,786,"1,307","1,590","1,748","2,058"
Borrowings +,256,280,753,336,369,316,257,678,"1,355","2,557"
Other Liabilities +,146,167,359,237,228,253,260,553,636,"1,042"
Total Liabilities,665,774,954,"1,114","1,194","1,433","1,904","2,901","3,820","5,736"
Fixed Assets +,515,518,755,863,916,931,"1,005","1,766","2,434","3,348"
CWIP,2,64,0,0,2,9,21,477,600,"1,214"
Investments,11,14,0,0,0,0,332,68,157,99
Other Assets +,137,177,199,250,276,493,546,590,629,"1,075"
Total Assets,665,774,954,"1,114","1,194","1,433","1,904","2,901","3,820","5,736"
