,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,31,31,31,31,31,31,31,30,30,32,32,34
Reserves,"2,068","2,186","2,217","2,391","2,643","3,089","3,327","3,709","4,249","4,688","5,106","6,479"
Borrowings +,"2,731","3,684","2,922","2,849","3,319","2,610","3,296","3,260","3,838","3,786","4,008","4,314"
Other Liabilities +,"3,149","3,050","4,315","4,947","6,393","8,406","9,086","8,323","8,999","11,014","12,868","14,757"
Total Liabilities,"7,980","8,951","9,485","10,218","12,385","14,135","15,741","15,321","17,116","19,521","22,014","25,584"
Fixed Assets +,"1,766","3,204","3,081","3,061","3,062","3,141","3,444","3,472","3,559","3,124","3,073","3,252"
CWIP,"1,292",398,27,117,724,16,54,34,25,52,33,29
Investments,10,11,63,45,51,1,1,1,5,5,0,150
Other Assets +,"4,912","5,338","6,313","6,995","8,549","10,977","12,241","11,814","13,528","16,339","18,908","22,154"
Total Assets,"7,980","8,951","9,485","10,218","12,385","14,135","15,741","15,321","17,116","19,521","22,014","25,584"
