,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,38,38,38,37,37,36,34,34,34,34,34,34
Reserves,762,893,"1,063","1,249","1,533","1,754","1,831","2,316","3,152","3,673","4,324","4,968"
Borrowings +,977,839,883,779,648,856,788,657,"1,185","1,348","1,158",466
Other Liabilities +,388,462,398,326,334,327,229,244,486,543,347,494
Total Liabilities,"2,164","2,232","2,382","2,391","2,552","2,974","2,882","3,251","4,858","5,598","5,864","5,962"
Fixed Assets +,"1,256","1,206","1,154","1,307","1,224","1,137","1,321","1,256","1,940","2,306","2,429","2,461"
CWIP,6,2,35,2,0,12,6,29,115,87,118,40
Investments,63,61,2,12,14,2,9,235,311,129,34,264
Other Assets +,840,962,"1,192","1,070","1,314","1,822","1,546","1,732","2,492","3,076","3,284","3,196"
Total Assets,"2,164","2,232","2,382","2,391","2,552","2,974","2,882","3,251","4,858","5,598","5,864","5,962"
