,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,883","3,744","4,146","4,322","4,430","4,814","5,039","5,197","4,961","5,600","5,673","5,768","5,667"
Expenses +,"3,615","3,512","3,693","3,790","3,852","3,958","4,121","4,159","3,964","4,359","4,332","4,412","4,346"
Operating Profit,268,232,453,533,578,856,918,"1,038",997,"1,241","1,340","1,356","1,321"
OPM %,7%,6%,11%,12%,13%,18%,18%,20%,20%,22%,24%,24%,23%
Other Income +,16,6,15,18,37,23,40,29,29,68,42,54,57
Interest,41,43,55,84,93,86,81,74,71,68,71,67,89
Depreciation,327,193,203,220,264,235,248,257,457,248,257,271,393
Profit before tax,-85,2,210,246,258,559,630,736,498,993,"1,055","1,071",896
Tax %,502%,"3,925%",36%,36%,6%,19%,21%,16%,26%,19%,19%,20%,13%
Net Profit +,-512,-87,134,158,242,453,495,619,368,806,859,859,782
EPS in Rs,-11.40,-1.96,2.85,3.37,5.19,9.94,10.76,13.47,7.89,17.58,18.69,18.74,16.92
Raw PDF,,,,,,,,,,,,,
