,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,20,40,40,40,40,40,41
Reserves,"2,035","3,445","4,682","6,115","7,395","9,323","14,291"
Borrowings +,0,131,241,873,170,207,"8,511"
Other Liabilities +,968,"1,449","1,397","2,080","2,080","2,313","4,916"
Total Liabilities,"3,022","5,065","6,360","9,108","9,686","11,883","27,760"
Fixed Assets +,316,"1,600","1,664","3,588","4,251","4,545","19,524"
CWIP,47,317,372,701,550,282,306
Investments,959,829,"1,512","1,109","1,346","2,568","2,042"
Other Assets +,"1,700","2,319","2,811","3,709","3,538","4,488","5,887"
Total Assets,"3,022","5,065","6,360","9,108","9,686","11,883","27,760"
