,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,85,85,85,85,85,85,85,85,85,169,169,169
Reserves,"1,818","2,406","3,409","4,266","4,538","4,640","4,739","5,753","5,868","6,029","6,687","7,422"
Borrowings +,"1,132","2,740","2,352","2,510","6,462","6,038","5,784","4,874","4,070","5,369","4,022","3,202"
Other Liabilities +,"1,988","2,589","3,040","2,740","3,159","3,351","3,402","3,363","2,884","3,043","3,627","4,197"
Total Liabilities,"5,022","7,820","8,886","9,601","14,243","14,113","14,010","14,075","12,906","14,610","14,505","14,990"
Fixed Assets +,875,"2,833","2,859","3,688","7,855","7,748","7,533","7,065","6,423","8,121","8,138","8,057"
CWIP,534,678,"1,042",519,647,617,712,889,630,765,361,367
Investments,186,298,780,804,492,353,2,181,226,199,173,156
Other Assets +,"3,427","4,011","4,206","4,589","5,249","5,395","5,763","5,940","5,628","5,524","5,834","6,410"
Total Assets,"5,022","7,820","8,886","9,601","14,243","14,113","14,010","14,075","12,906","14,610","14,505","14,990"
