,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,26,26,26,26,26,26,26,26,26,26,26,26
Reserves,"1,606","1,824","2,121","2,308","2,664","3,157","3,494","3,556","3,909","3,938","4,152","4,337"
Borrowings +,"1,306",836,806,594,312,211,252,262,10,16,102,620
Other Liabilities +,959,"1,198","1,413","1,550","1,721","1,989","1,778","2,008","2,004","2,300","2,773","3,239"
Total Liabilities,"3,898","3,885","4,366","4,479","4,723","5,384","5,551","5,852","5,949","6,280","7,053","8,223"
Fixed Assets +,"1,632","1,836","1,822","1,750","1,730","1,777","1,926","1,949","1,913","1,851","1,776","1,749"
CWIP,82,90,61,137,72,190,199,129,110,77,173,253
Investments,0,0,0,0,0,0,0,6,8,8,8,8
Other Assets +,"2,183","1,959","2,483","2,591","2,921","3,417","3,425","3,768","3,918","4,344","5,097","6,213"
Total Assets,"3,898","3,885","4,366","4,479","4,723","5,384","5,551","5,852","5,949","6,280","7,053","8,223"
