,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,42,43,43,43,43,43,43,43,44
Reserves,592,707,857,953,"1,168","1,364","1,564","1,771","2,054"
Borrowings +,6,7,14,13,69,68,503,401,134
Other Liabilities +,294,414,458,447,594,632,788,936,"1,107"
Total Liabilities,934,"1,171","1,372","1,455","1,875","2,107","2,899","3,152","3,338"
Fixed Assets +,169,218,231,284,370,463,"1,247","1,334","1,374"
CWIP,10,7,8,67,20,17,27,37,49
Investments,89,75,83,36,33,33,34,101,81
Other Assets +,666,870,"1,050","1,068","1,452","1,593","1,591","1,680","1,834"
Total Assets,934,"1,171","1,372","1,455","1,875","2,107","2,899","3,152","3,338"
